transcript_date,health_discussed,health_discussed_people_names,health_data_information_systems_discussed,health_data_information_systems_summary,health_data_challenges,health_service_delivery_improvement_recommendations,health_sector_decisions,health_evidence_base,health_evidence_requested,filename
"December 21, 2016",No,,No,,,"The County government should consider employing additional firemen to enhance the staffing levels of fire stations in the County. There is a need to establish a County diving and rescue unit and manned with qualified personnel so as to handle any emerging rescue missions in the County and beyond. The firemen should be facilitated to undertake regular training and refresher courses in their specialist areas so as to be responsive to the County disaster needs. The Committee recommends the County to enter into Memorandum of Understanding (MOUs) with several stakeholders such as Mombasa Water Company, Kenya Pipeline, Kenya Ports Authority (KPA) and Kenya Refinery with a view to access water hydrants within the industrial areas. That during procurement of fire fighting and rescue equipment, officers from this unit be incorporated in the process/inspection so that the County can get value for money for the equipment being procured. The Committee also recommended that the Department in charge of County Fire fighting services to urgently supply the units with the three types of uniforms i.e ceremonial, protective gowns and working uniforms, safety boots, VHF communication gadgets, working gear such as breathing kits, gloves, soap, gas etc. No officer should be victimized or reprimanded for the engagement with Members of the Disaster Committee of the County Assembly of Mombasa, and that all warning letters to that effect arising from an earlier visit of a committee of the House be withdrawn. The Committee recommends that the Department in charge of County fire fighting services should urgently find modalities to compensate the fire fighters for working beyond the official normal working hours. This should be done either through cash or off days to the officers. The Committee also recommends that Kshs. 1,000/= risk allowance to the officers should be reviewed upwards in order to motivate the officers who are undertaking an important service to the County residents. The Committee recommends that the County government should explore modalities to improve on the officers access to medical care considering that they worked in very risky and hazardous environments. The Committee also recommends that thorough investigations be undertaken by the Lands department with regard to the encroachment of lands belonging to three fire stations in the County. The renting by IEBC of offices previously belonging to the fire station at Changamwe be investigated and a way forward be given. That an engagement forum between the Committee members and the leadership of fire stations be undertaken with a view to further engage and come up with tangible strategies and proposals on the way forward with regard to disaster management and fight fighting issues in the County. On 21st November, 2016 the Committee invited the Director of Inspectorate and we had a meeting on conditions of all fire stations and he had informed the committee members that he wrote to the Public Service Board on the employment of 50 staff and drivers due to the shortage of staff to the fire department.",,,,158th-sitting-of-2016_0
"October 18, 2018",No,,No,,,,,,,85th-Sitting-of-2018_0
"December 21, 2016",Yes,Mwakirunge residents,No,,"Lack of access to healthcare, hazardous environment, discrimination, vulnerability to violence and abuse","Equipped health centers near the dump site, Cost of treatment from diseases relating to the dumpsite should be scrapped off, Increase community health workers and investigations on health issues, Avail emergency and referral services near the dumpsite, Provide rabies vaccine and specialized respiratory drugs, Regulate dumping methods, Provide rescue and counseling services for girls raped at the dumpsite",Formation of an ad hoc committee by the Environment Committee and Health Committee to address the challenges and recommendations facing Mwakirunge community,Petition and memorandum from Mwakirunge residents,,159th-sitting-of-2016_1
"March 23, 2016",No,,No,,,,,,,39th-sitting-of-2016_0
"November 30, 2016",Yes,"Hon(Ms) Akinyi, Hon Saad Faraj, Hon Mohamed Hatimy, Hon Wangudi Stephen, Hon Ahmed Ebrahim Omar, Hon Nasser Rashid",No,,"The challenges identified include the presence of asbestos roofing in public primary schools, which could harm students, teachers, and the general public. There were concerns about the harmful effects of asbestos on health, particularly causing cancer and other diseases, especially in children exposed to asbestos in schools.","Recommendations discussed include the replacement of asbestos roofing in public primary schools to prevent potentially harmful effects on students, teachers, and the general public. Suggestions were made for cooperation and support from the county government to address the issue.",,"The discussions were informed by evidence from the World Health Organization on the health hazards of asbestos roofing, particularly its association with cancer and other diseases. Concerns were raised about the impact of asbestos on the health of students and the community using schools with asbestos roofing.",,147th-sitting-of-2016_0
"October 9, 2019",No,,No,,,,,,,90th-Sitting-of-2019_0
"April 3 , 2019",No,,No,,,,,,,26th-Sitting-of-2019_0
"February 24, 2016",Yes,"Hon. Kibwana Swaleh, Hon. Mohamed Chiro, Hon. Tom Ogalo, Hon. Ahmed Faraj, Hon. Kizito Opeya Okoth, Hon. Ibrahim Kondo, Hon. Patrick Siminyu, Hon. Mohamed Madundo, Hon. Jimmy Odari, Hon. Lucy Chizi Chireri, Hon. (Mrs.) Nyamvula",No,,,,,,,23rd-sitting-of-2016_1
"November, 9, 2017",No,,No,,,,,,,SPECIAL-SITTING_0
"November 28, 2023",No,,No,,,,,,,99th-Sitting-of-2023_0
"May 10, 2017",Yes,Hon. Mwi nga,No,,,,,,Reports on destruction and deaths from heavy rainfall in Mombasa County,52nd-sitting-of-2017_0
"July 13, 2016",No,,No,,,,,,,71st-sitting-of-2016_1
"November 15, 2022",No,,No,,,,,,,9th-Sitting-of-2022_1
"October 30, 2018",No,,No,,,,,,,90th-Sitting-of-2018_0
"April 29, 2016",No,,No,,,,,,,53rd-Special-sitting-of-2016_0
"July 26, 2016",No,,No,,,,,,,77th-sitting-of-2016_1
"December 1, 2016",No,,No,,,,,,,148th-sitting-of-2016_1
"June 27, 2023",No,,No,,,,,,,43rd-Sitting-of-2023_2
"November 15 , 2017",No,,No,,,,,,,19th-Sitting-of-2017_0
"November 21 , 2017",No,,No,,,,,,,22nd-Sitting-of-2017_0
"June 29, 2020",No,,No,,,,,,,23rd-Sitting-of-2020-1_1
"August 17, 2016",Yes,Hon. Faraj,No,,,,,,,87th-sitting-of-2016_0
"October 16 , 2018",No,,No,,,,,,,82nd-Sitting-of-2018_1
"December  5, 2017",Yes,"Hon. Fahad Kassim, Hon. Mwaka Bakari, Hon. Moses Aran Oindo, Hon. Kitula, Hon. Tobias Samba, Hon. Fahad Abdallah, Hon. Nzai, Hon. Kibwana Swaleh, Hon. Shebe Salim",No,,Poor maintenance causing clogging and overflowing of drainage sewers leading to environmental crisis and communicable diseases,"Ban hawking and selling of food, ban hawking of bottled water, ban food outsourced from unlicensed suppliers, register and license hotel workers and vendors, test and treat water sources, distribute water treatment chemicals, appoint multi-sectoral task force, set up Cholera Treatment Centers",N/A,Cases of cholera outbreak and measures taken by the Department of Health,,26th-Sitting-of-2017_0
"February 18, 2020",No,,No,,,,,,,1st-Sitting-of-2020_0
"May 30, 2018",No,,No,,,,,,,40th-Sitting-of-2018_0
"June 29, 2016",No,,No,,,,,,,65th-sitting-of-2016_0
"June 13, 2017",No,,No,,,,,,,70th-sitting-of-2017_0
"July 12, 2016",No,,Yes,Discussions were held regarding the painting and maintenance of the decorative elephant tusks in Mombasa as part of the county's historical heritage.,The metal plates on the decorative elephant tusks were identified as depreciating and needing regular maintenance.,,,Visual observations of the condition of the metal plates on the elephant tusks.,No evidence requested.,69th-sitting-of-2016_1
"September 26, 2018",No,,No,,,,,,,74th-Sitting-of-2018_0
"June 20, 2018",No,,No,,,,,,,44th-Sitting-of-2018_0
"Tuesday , 5th December , 2023",No,,No,,,,,,,103rd-Sitting-of-2023_0
"May 16, 2018",No,,No,,,,,,,36th-Sitting-of-2018_0
"July 3, 2018",No,,No,,,,,,,50th_Sitting_of_2018_updted_0
"February 21, 2017",Yes,"Hon. Ms. Akinyi, Hon. Jimmy Odari, Hon. Fadhili Makarani, Hon. Ibrahim Kondo, Hon. Duncan Onyango, Hon. Steven Wangudi, Hon. Ahmed Ebrahim Omar, Hon. Mohamed Madundo, Hon. Faraj",No,,N/A,"To resolve ongoing road works affecting drainage system, water supply, and posing health risks","To come up with proper mitigation measures to safeguard the health, safety, and well-being of residents",Constitution of Kenya 2010,N/A,21st-sitting-of-2017_0
"November 20, 2019",Yes,"Hon. Kibwana Swaleh, Hon. Athmani Mwamwiri, Hon. Raphael Bwire, Hon. Mohamed Hatimy, Hon. Tobias Samba",No,,,,,,No specific health information was requested.,110th-Sitting-of-2019_1
"December 6, 2017",No,,No,,,,,,,28th-Sitting-of-2017_0
"April 13, 2016",Yes,"Paul Onje, Enock Mwadziwe, Mary Akinyi, Mohamed Madundo, Tom Ogalo, Ahmed Omar Meti, Kibwana Swaleh Baya",No,,Corruption,"Sealing loopholes of corruption, using resources effectively",Calendar to be altered to extend sittings and address pending business,Observations and findings mentioned in the discussions,,50th-sitting-of-2016_0
"August 18, 2016",Yes,"Hon. Kalume, Hon. Wangudi, Hon. Mary Akinyi, Hon. Zainab Ali",No,,,,,,,88th-sitting-of-2016_0
"February 28 , 2017",No,,No,,,,,,,25th-sitting-of-2017_1
"August 1, 2018",No,,No,,,,,,,62nd_Sitting_of_2018_updted_0
"March 11, 2020",No,,No,,,,,,,16th-Sitting-of-2020-1_2
"March 30, 2016",No,,No,,,,,,,43rd-sitting-of-2016_0
"September 11, 2019",No,,No,,,,,,,78th-Sitting-of-2019_1
"August 3, 2016",No,,No,,,,,,,83rd-sitting-of-2016_1
"November 14, 2018",No,,No,,,,,,,92nd-Sitting-of-2018_1
"July 4 , 2019",No,,No,,,,,,,54th-Sitting-of-2019_1
"October 10, 2017",Yes,"Hon. Samba, Hon. Hamida, Hon. Abrari, Hon. Rosemary",No,,Lack of midwives and healthcare facilities in Mombasa leading to difficulties in childbirth and healthcare access.,"Improvement of healthcare facilities, recruitment of midwives, and emphasis on maternal healthcare.",,Experiences and observations shared by individuals during the discussions.,,10th-Sitting-of-2017_1
"July 25, 2018",Yes,"Hon. Moses Aran, Hon. Murfad Amur, Hon. Nyiro, Hon. Charles Kitula, Hon. Ramla Said, Hon. Fahad Kassim, Hon. Prischillah Mumba, Hon. Athuman Shebe, Hon. Kombe, Hon. Athman Mwamwiri",No,,The discussions did not identify any specific challenges related to health data or information systems.,"To equip all polytechnics within the County with ICT hubs and consider partnering with the private sector, as discussed in the Motion.",No specific decisions were made regarding the health sector financing.,No specific evidence was mentioned during the discussions.,,57th_Sitting_of_2018_updted_0
"February 19 , 2020",Yes,Hon. Members,No,,,,,,,3rd-Sitting-of-2020_0
"March 15, 2022",No,,No,,,,,,,22nd-Sitting-of-2022_0
"December 6, 2017",No,,No,,,,,,,28th-Sitting-of-2017_1
"July 7, 2016",No,,No,,,,,,,72nd-sitting-of-2016_0
"February 14, 2019",No,,No,,,,,,,4th-Sitting-of-2019_1
"January 20, 2016",Yes,"Sarah Nyamvulah, Wangudi, Mary Akinyi, Zainab Said Ali, Lucy Chizi, Fadhili, Murfad, Mary Akinyi, Mary Akinyi, Lucy Chizi, Fadhili, Lucy Chireri",No,,Parking issues and obstruction near Coast General Hospital,Establishment of a no-parking zone around Coast General Hospital,,Observations and experiences shared during the discussions,No specific health information requested,3rd-sitting-of-2016_0
"March 10, 2020",No,,No,,,,,,,14th-Sitting-of-2020_0
"May 29, 2023",No,,No,,,,,,,Special-Sitting-May-2023_2
"August 25 , 2020",No,,No,,,,,,,33rd-Sitting-of-2020_0
"October 19, 2021",Yes,"Salim Kalume, Hamida, Murfadh Amur, Kibwana Swaleh Baya, Mwalimu Mgwisho",No,,,,,,,111th-Sitting-of-2021-1_0
"October 19, 2017",No,,No,,,,,,,17th-Sitting-of-2017_0
"July 30, 2019",No,,No,,,,,,,68th-Sitting-of-2019_0
"September 10, 2019",No,,No,,,,,,,76th-Sitting-of-2019_0
"June 7, 2023",No,,No,,,,,,,40th-Sitting-of-2023_0
"July 25, 2018",No,,No,,,,,,,56th_Sitting_of_2018_updted_0
"June 26, 2018",Yes,"Hon. Mohamed Hatimy, Hon. Fahad Kassim, Hon. Maimuna Salim, Hon. Kitula, Hon. Athman Mwamwiri, Hon. Ahmed Salama, Hon. Ibrahim Omondi",No,,"Lack of preparation, lack of specific details on health matters","Proper preparation, thorough examination of documents",,,,46th-Sitting-of-2018_2
"August 9 , 2018",Yes,"Hon. Ahmed Salama, Hon. (Ms.) Mbura, Hon. Bwire, Hon. Samba, Hon. Mwamwiri, Hon. Hatimy, Hon. Kitula",Yes,"Discussions on renovation of county health residential houses, illegal construction of houses, and implementation of various plans/projects in the department of lands, planning, and housing.",Challenges in the approval and legality of construction projects.,Comprehensive reports and site visits for better decision-making.,Plans to appoint an Ad hoc Committee for comprehensive reports.,"Mombasa County Government Act, relevant laws, and regulations.",Detailed statements and reports regarding health infrastructure projects.,66th_Sitting_of_2018_updted_0
"December 5 , 2018",No,,No,,,,,,,104th-Sitting-of-2018_0
"July 4 , 2019",Yes,"Hon. Fadhili Makarani, Hon. Khatri, Hon. Charles Kitula, Hon. Mwamwiri, Hon. Bwire, Hon. Samba, Hon. Noor",No,,The Committee on Public Accounts has not received responses from the Auditor General or the Departments related to reports on various funds and accounts. They have requested responses but have not received any feedback yet.,,,,,54th-Sitting-of-2019_0
"February 16, 2022",No,,No,,,,,,,8th-Sitting-of-2022_0
"June 27, 2023",Yes,"Hon. Kibwana Swaleh, Hon. Noor, Hon. Fadhili Makarani, Hon. Prischilla Mumba, Hon. Matsaki, Hon. Mwamwiri, Hamida Noor, Florence Kachumbo, Patrick Mbele, Maryam Baimu, Mohammed Khamis, Salim Baya, Maryam Baimu, Patrick Mbele, Florence Kachumbo, Kibwana Swaleh",No,,Sewage and drainage issues were mentioned as challenges.,"Increasing hospitals in Wards, water networking improvements, marine education in the blue economy, building social halls, and mainstreaming for PWDs were discussed as improvements.",Adoption of the Report on the public participation for the County Integrated Development Plan (CIDP) 2023-2027 was made.,Public participation and stakeholder consultations were used as evidence.,,43rd-Sitting-of-2023_1
"June 29 , 2021",Yes,"Faith Mwende, Hamisi Musa Mwidani, Fadhili Mwalimu, Charles Kitula, Mwaka Zahoro, Moses Aran, Shebe Athman, Junior Wambua",No,,N/A,"Engage with NACADA in developing programs and policies for awareness, treatment, and rehabilitation of persons with Substance Use Disorders. Initiate plans for establishing an affordable rehabilitation and rescue center with qualified personnel for medical care.",,,,65th-Sitting-of-2021_0
"March 15, 2016",No,,No,,,,,,,33rd-sitting-of-2016_0
"November 29, 2016",No,,No,,,,,,,145th-sitting-of-2016_0
"Februa ry 14, 202 3",No,,No,,,,,,,5th-Sitting-of-2023_0
"September 14 , 2016",No,,No,,,,,,,102nd-sitting-of-2016_0
"July 13, 2016",No,,No,,,,,,,70th-sitting-of-2016_0
"March 13, 2019",No,,No,,,,,,,15th-Sitting-of-2019_0
"September 30, 2016",No,,No,,,,,,,113th-sitting-of-2016_0
"August 2 3, 2018",No,,No,,,,,,,71st-Sitting-of-2018_0
"November 30 , 2016",Yes,"Hon (Ms) Akinyi, Hon Saad Faraj, Hon Mohamed Hatimy, Hon Ahmed Ebrahim Omar, Hon Nasser Rashid",No,,The discussions identified a challenge in determining whether the responsibility for addressing asbestos roofing in public primary schools lies with the county government or the national government.,The participants recommended making amendments to the motion to address concerns about the financial implications of replacing asbestos roofing in schools and to coordinate with the national government for assistance.,No decisions were made regarding the health sector.,,,147th-sitting-of-2016_2
"October 12, 2016",No,,No,,,,,,,120th-sitting-of-2016_0
"October 3, 2023",No,,No,,,,,,,72nd-Sitting-of-2023_1
"October 7 , 2020",No,,No,,,,,,,52nd-Sitting-of-2020_1
"May 15, 2018",No,,Yes,Discussions about decentralization of the sewerage system in the county were held.,"Inadequate and dilapidated existing infrastructure, increasing demand for sewerage services, and potential threats to residents and the environment were identified as challenges.",1. Construct and decentralize the sewerage system to all the Wards in the County.  2. Transfer sewerage systems management to Ward level.,,Information about the existing sewerage system infrastructure and its challenges were used to inform the recommendations for decentralization and management transfer.,,35th-Sitting-of-2018_0
"February 3, 2017",No,,No,,,,,,,12th-sitting-of-2017_0
"December 19, 2017",No,,No,,,,,,,30th-Sitting-of-2017_0
"October 11 , 201 7",Yes,"Kibwana Swaleh Baya, Fatuma Swaleh Mote, Francis Kombe Nzai, Kizito Okoth Opeya, Lucy Chizi Chireri, Fahad Kassim Abdalla, Murfad Abdalla Amur, Fadhili Mwalimu Makarani, Hamisi Musa Mwidani",No,,,,,,None,12th-Sitting-of-2017_0
"November 28, 2018",No,,No,,,,,,,101st-Sitting-of-2018_0
"March 26, 2019",No,,No,,,,,,,21st-Sitting-of-2019_0
"November 15 , 2018",Yes,"Chairperson of Committee on Implementation, Hon. Salim Kalume, Hon. Moham ed Hatimy, Hon. Amur, Hon. Samba, Hon. Mohamed Hatimy, Hon. Ogutu, Hon. Renson Thoya, Hon. Prischillah Mumba, Hon. Kitula, Hon. Milka Moraa",No,,"The challenges identified include delays in payment leading to refusal to work on the given tasks, discrepancies in the report regarding the wards, and lack of fairness in the disbursement of materials.",No specific recommendations were discussed.,,The evidence provided included reports on the implementation status of motions passed in the House.,,94th-Sitting-of-2018_1
"December 1, 2016",No,,No,,,,,,,148th-sitting-of-2016_0
"January 27, 2016",No,,No,,,,,,,6th-sitting-of-2016_0
"July 23, 2019",No,,No,,,,,,,64th-Sitting-of-2019_0
"March 29 , 2017",No,,No,,,,,,,43rd-sitting-of-2017_0
"September 13, 2016",No,,No,,,,,,,101st-sitting-of-2016_0
"October 25, 2018",No,,No,,,,,,,89th-Sitting-of-2018_1
"March 1, 2016",No,,No,,,,,,,25th-sitting-of-2016_1
"September 22, 2016",No,,No,,,,,,,108th-sitting-of-2016_1
"May 25, 2017",No,,No,,,,,,,62nd-sitting-of-2017_0
"June 30, 2020",Yes,"Hon. Mohamed Hatimy, Hon. Charles Juma Kitula",No,,,"Approval of an addition of Kshs. 250Million to the County Assembly Program Based development Budget (PBB) to finance the Speaker’s residence, renovation of the Mombasa County Assembly Buildings, and offices for Members of the County Assembly. Additionally, Kshs. 50Million for the Program Based Development Budget 2020/2021 to finance car and mortgage loans.",,,,25th-Sitting-of-2020_1
"July 16, 2019",No,,No,,,,,,,59th-Sitting-of-2019_0
"October 18, 2018",No,,Yes,"Discussions were held on the mapping of People with Disabilities (PWDs) in the county, developing a disability mainstreaming policy, and data analysis for policy development.","The challenges identified included the need for data analysis, policy development, and stakeholder engagement.","Recommendations included the empowerment of PWDs in social, economic, and political participation through policy development, stakeholder engagement, and data analysis.",No decisions were made regarding the health sector financing.,Data from the disability mapping exercise and analysis were used to inform policy development and stakeholder discussions.,Data on People with Disabilities (PWDs) was requested for analysis and policy development.,85th-Sitting-of-2018_1
"June 23, 2016",No,,No,,,,,,,63rd-sitting-of-2016_3
"June 20, 2019",No,,No,,,,,,,46th-Sitting-of-2019_0
"September 28, 2016",No,,Yes,Discussions about uncontrolled gambling within the villages by the Chinese.,"Licensing of casinos under National government while County governments have no impact on them, school children being lured into gambling machines, unlicensed kiosks with gambling machines, expired licenses for gambling machine companies.",1) Companies to return gambling machines by a certain date. 2) Inspection and confiscation of machines after the set date. 3) Updates to be provided on the outcome by a specified date.,Temporary suspension of uncontrolled gambling to reevaluate the placement and regulations of gambling machines.,"Committee findings on the prevalence of gambling machines in the county, impact on school children, and licensing issues.",Not applicable,110th-sitting-of-2016_0
"January 26, 2023",No,,No,,,,,,,Fourth-Special-Sitting-January-2023_0
"October 8, 2019",No,,No,,,,,,,88th-Sitting-of-2019_0
"June 21, 2018",Yes,Hon. Shebe Athuman,No,,,,,,,45th-Sitting-of-2018_0
"February 24, 2016",Yes,"Hon. Kibwana Swaleh, Hon. Mohamed Ndanda, Hon. Tom Ogalo, Hon. Ahmed Faraj, Hon. Ibrahim Kondo, Hon. Patrick Siminyu, Hon. Hamisi Mwidani, Hon. Abubakar Kibwana, Hon. Kalume Salim, Hon. Maimuna Mwamassa, Hon. Zeinab Mumba, Hon. Kizito Opeya, Hon. Paul Onje, Hon. Zainab Kithinzi",No,,Lack of access to the Health Committee quarterly report for all members,Proper distribution of copies of critical health reports to all members for informed contributions,Adoption of the Department of Health first quarter report of October 2015,Official documents and reports,,23rd-sitting-of-2016_0
"June 30, 2020",No,,No,,,,,,,24th-Sitting-of-2020_1
"June 30, 2020",No,,No,,,,,,,24th-Sitting-of-2020_2
"December 6, 2023",No,,No,,,,,,,105th-Sitting-of-2023_1
"August 3 1, 2016",No,,No,,,,,,,94th-sitting-of-2016_0
"March 30, 2016",No,,No,,,,,,,42nd-sitting-of-2016_0
"November 17, 2016",No,,No,,,,,,,140th-sitting-of-2016_0
"September 7, 2016",Yes,"Hon. Kibwana Swaleh, Hon. Kizito Opeya",No,,"Lack of drugs, lack of perimeter wall for security, shortage of human resources","Further investigations, better support from the County Assembly",Recommendation for adoption of the report,Statement from the Department of Health on lack of drugs at Maweni Dispensary,,99th-sitting-of-2016_1
"November 29 , 2023",No,,No,,,,,,,100th-Sitting-of-2023_0
"May 9, 2017",No,,No,,,,,,,51st-sitting-of-2017_0
"November 9, 2022",Yes,"Hon. Ogutu, Hon. Abdulrahman Abdulkadir, Hon. Hassan Mohamed, Hon. Katana, Hon. Ojala, Hon. Kibwana Swaleh",No,,"Lack of development in certain wards, poor working conditions for environmental workers, issues in the health sector leading to child mortality, concerns about education and higher education loan board removal","Implementation of Ward Development Funds, improvement in environmental workers' conditions, establishment of task force for health issues",None,"Cases of child mortality due to negligence, challenges in the education sector",,7th-Sitting-of-2022_1
"March 24, 2016",No,-,No,,,,,,,40th-sitting-of-2016_0
"October 6 , 2020",No,,No,,,,,,,50th-Sitting-of-2020_0
"February 3, 2016",Yes,"Hon. Mwalimu, Hon. Fadhili, Hon. Zeinab Omar Mumba, Hon. Kibwana Swaleh Baya",No,,Delay in getting the signature for the health sector report,Committee advised to work efficiently and bring the report with all supporting documents,Order to send the health sector report back to the Health Committee for further work,Statements and concerns raised during the County Assembly debates,,11th-sitting-of-2016_0
"May 17, 2023",No,,No,,,,,,,37th-Sitting-of-2023_0
"July 20 , 2016",No,,No,,,,,,,74th-sitting-of-2016_0
"Thursday , 22nd February , 2018",No,,No,,,,,,,6th-Sitting-of-2018_0
"April 7, 2016",Yes,"Hon. (Mrs.) Nyamvula, Hon. Faraj, Hon. Ahmed Ebrahim Omar, Hon. Serah Nyamvula, Hon. Saad",No,,"The challenges identified include the lack of implementation of the 30 per cent procurement rule for women, Persons Living with Disabilities (PWDs), and youths in the county.","The recommendation is to revisit the issue of 30 per cent procurement on youths, gender, and sports, and Community Development Workers (CDWs) to ensure compliance in the County Assembly and the County as a whole.","A decision was made to have Hon. Meti provide a comprehensive answer to the House within one week on the implementation of the 30 per cent procurement plan for youths, women, and people living with disabilities.",The evidence base for the decisions and recommendations includes the advocacy efforts made to implement the 30 per cent procurement rule in the county.,,48th-sitting-of-2016_0
"March 14, 2018",Yes,"Hon. Athman Mwamwiri, Hon. Chief Whip (Hon. Kitula), Hon. Shebe Salim, Hon. Lucy Chizi",No,,"Insufficient youth-friendly health facilities, spike in youth drug abuse, lack of rehabilitation centers with youth-friendly services",1. Establish youth-friendly health services for addressing drug abuse and addiction. 2. Construct at least one rehabilitation center in each Sub-County. 3. Provide training in entrepreneurship skills and job opportunities for drug recovery.,,Not specified,,13th-Sitting-of-2018-14th-March-18_0
"November 16, 2017",No,,No,,,,,,,21st-Sitting-of-2017_0
"August 4 , 2021",No,,No,,,,,,,81st-Sitting-of-2021_0
"August 25, 2016",No,,No,,,,,,,92nd-sitting-of-2016_0
"August 2, 2016",No,,No,,,,,,,81st-sitting-of-2016_1
"May 3, 2017",No,,No,,,,,,,49th-sitting-of-2017_0
"August 4 , 2021",No,,No,,,,,,,81st-Sitting-of-2021_1
"October 29, 2019",No,,No,,,,,,,96th-Sitting-of-2019_0
"February 28, 2019",No,,No,,,,,,,12th-Sitting-of-2019_1
"March 14, 2023",No,,No,,,,,,,21st-Sitting-of-2023_0
"September 5 , 2023",No,,No,,,,,,,60th-Sitting-of-2023_1
"October 10, 2017",Yes,"Samba, Hamida, Abrari, Rosemary",No,,"Lack of midwives and healthcare facilities, fistula condition in women","Improve facilities in hospitals, address fistula condition, provide better healthcare assistance",No specific decisions made,Personal experiences and observations,,10th-Sitting-of-2017_0
"August 26, 2020",No,,No,,,,,,,36th-Sitting-of-2020_1
"September 17, 2019",No,,No,,,,,,,80th-Sitting-of-2019_0
"May 29, 2018",Yes,"Hon. Robert Nyiro, Hon. Samba, Hon. Shebe Athmani, Hon. Mohamed Hatimy",No,,Lack of proper medical scheme or initiative geared towards meeting the medical needs of the elderly,"1. That the County government set up a medical scheme aimed at meeting the medical needs of the elderly in the County especially those aged 60 years and above.
2. That the County government work closely with NHIF to ensure that the elderly benefits from medical cover to supplement and complement the national government efforts, by subsidizing medical cover for the elderly aged 60 years and above.",,Observations and experiences of Members about the challenges faced by the elderly in accessing affordable medical care,,38th-Sitting-of-2018_0
"November 19, 2019",Yes,Hon. Hamida Noor,No,,,"The Department of Health Services to ensure proper knowledge, awareness, analysis, and actions are in place. Support children with Autism Spectrum Disorder (ASD) in terms of Education, rehabilitation, and empowerment of qualified personnel and special schools for them.",,WHO estimates,Health data on Autism Spectrum Disorder (ASD),108th-Sitting-of-2019_0
"December 7, 2016",No,,No,,,,,,,150th-sitting-of-2016_0
"March 23, 2016",No,,No,,,,,,,38th-sitting-of-2016_0
"November 30, 2016",No,,No,,,,,,,146th-sitting-of-2016_0
"February 13, 2019",No,,No,,,,The County Assembly of Mombasa made the decision to implement performance contracting in all departments.,Observation of non-enforcement of performance contracting provisions in the County government of Mombasa.,,3rd-Sitting-of-2019_0
"March 1, 2023",Yes,"Allen Katana, Jacktone Madialo, Benard Ogutu, Milka, Mwaka Bakari, Ngugi",No,,,"Conduct strategic needs assessment survey of health facilities, Upgrade Port Reitz Level 4 Hospital to level 5, Source funds for construction of health facilities in every ward",,Personal experiences and observations shared by speakers during the discussion,No specific health information was requested,15th-Sitting-of-2023_0
"October 16, 2019",No,,No,,,,,,,94th-Sitting-of-2019_2
"May 18, 2017",No,,No,,,,,,,58th-sitting-of-2017_0
"October 4, 2018",No,,No,,,,,,,79th-Sitting-of-2018_0
"June 20, 2019",No,,No,,,,,,,46th-Sitting-of-2019_1
"November 13, 2018",Yes,"Mohamed Hatimy, Amur Murfad",No,,,,,,,91st-Sitting-of-2018_0
"February 26, 2019",No,,No,,,,,,,9th-Sitting-of-2019_0
"September  25, 2018",No,,No,,,,,,,72nd-Sitting-of-2018_0
"July 26, 2016",No,,No,,,,,,,77th-sitting-of-2016_0
"October 3, 2023",No,,No,,,,,,,72nd-Sitting-of-2023_0
"September 6, 2017",No,,No,,,,,,,1st-Sitting-of-2017_0
"July 31, 2018",No,,No,,,,,,,59th_Sitting_of_2018_updted_0
"July 16, 2019",No,,No,,,,,,,60th-Sitting-of-2019_0
"January 26 , 202 1",No,,Yes,"Discussions on the Mombasa County Finance Bill, 2020","Limited public input for the Mombasa County Finance Bill, concerns about weak enforcement measures, high fees, charges, and tariffs impacting traders and consumers, and the impact of COVID-19 restrictions on bill processing","Utilize a variety of tools and methods to collect more revenue, including tax discounts, waivers, amnesties, and public sensitization on tax compliance","Approval of proposed amendments to the Mombasa County Finance Bill, 2020","Public participation in policy-making and legislation, National County Public Participation guidelines, local Act of the Assembly on Public Participation, limited public input, concerns from Members of the County Assembly",,Second-Special-Sitting-2021_0
"March 8, 2023",No,,No,,,,,,,20th-Sitting-of-2023_0
"Wednesday , 9th August , 2023",No,,No,,,,,,,56th-Sitting-of-2023_0
"July 26, 2023",Yes,"Honourable Mariam Baimu, Hon. Hamisi Mbaya, Honourable Abdirahman Abdulkadir, Honourable Amriya Juma, Honourable Patrick Mbelle, Honourable Ogutu, Honourable Frankline Makanga, Honourable Athman Mwamwiri, Honourable Leila, Honourable Athman Mwamwiri",No,,N/A,N/A,N/A,N/A,,49th-Sitting-of-2023_1
"October 15, 2019",No,,No,,,,,,,91st-Sitting-of-2019_0
"August 26, 2020",No,,No,,,,,,,36th-Sitting-of-2020_0
"May 30, 2017",Yes,"Hon. Mary Akinyi, Hon. Jimmy Odari, Hon. Wangudi, Hon. (Ms.) Zainab Kithinzi, Hon. Patrick Siminyu, Hon. Jimmy Odari",No,,"Chronic water shortage in Changamwe Ward, Lack of sufficient water resources, High cases of Dengue fever and malaria","Drilling boreholes in Changamwe Ward to alleviate water shortage, Urgent and well-calculated solutions for water problems, Committee on Implementation to expedite implementation of water projects",Passed Motion to drill boreholes in Changamwe Ward to alleviate water shortage,"Chronic water shortage in Changamwe Ward, Need for boreholes to provide water for domestic and commercial purposes, Cases of Dengue fever and malaria",,63rd-sitting-of-2017_0
"February 7, 2023",No,,No,,,,,,,First-Sitting-Second-Session-2023_0
